t_ms,I_nA,u_mWmm2
59.6,2.483085025175577,20
59.7,2.4808509799920335,20
59.800000000000004,2.478624226969989,20
59.9,2.4764047409898886,20
60.0,2.4741924970263436,20
60.1,2.471987470147744,20
60.2,2.469789635515872,20
60.3,2.467598968385525,20
60.4,2.4654154441041287,20
60.50000000000001,2.463239038111359,20
60.6,2.4610697259387657,20
60.7,2.4589074832093916,20
60.8,2.456752285637398,20
60.9,2.4546041090276924,20
61.00000000000001,2.4524629292755553,20
61.1,2.4503287223662644,20
61.2,2.4482014643747303,20
61.3,2.4460811314651263,20
61.4,2.4439676998905204,20
61.50000000000001,2.4418611459925086,20
61.6,2.4397614462008557,20
61.7,2.437668577033125,20
61.8,2.4355825150943247,20
61.900000000000006,2.433503237076544,20
62.0,2.4314307197585956,20
62.1,2.4293649400056596,20
62.2,2.4273058747689276,20
62.3,2.4252535010852463,20
62.400000000000006,2.4232077960767726,20
62.5,2.4211687369506127,20
62.6,2.4191363009984816,20
62.7,2.4171104655963473,20
62.800000000000004,2.415091208204091,20
62.9,2.4130785063651574,20
63.0,2.411072337706214,20
63.1,2.4090726799368056,20
63.2,2.4070795108490164,20
63.300000000000004,2.405092808317131,20
63.4,2.4031125502972928,20
63.5,2.4011387148271726,20
63.6,2.39917128002563,20
63.7,2.3972102240923814,20
63.80000000000001,2.3952555253076677,20
63.9,2.393307162031922,20
64.0,2.3913651127054454,20
64.10000000000001,2.3894293558480726,20
64.2,2.3874998700588503,20
64.30000000000001,2.38557663401571,20
64.39999999999999,2.3836596264751453,20
64.5,2.3817488262718913,20
64.60000000000001,2.3798442123186003,20
64.7,2.3779457636055246,20
64.8,2.3760534592001994,20
64.89999999999999,2.374167278247126,20
65.0,2.3722871999674546,20
65.10000000000001,2.370413203658674,20
65.2,2.3685452686942954,20
65.3,2.366683374523546,20
65.39999999999999,2.3648275006710557,20
65.5,2.3629776267365497,20
65.60000000000001,2.361133732394544,20
65.7,2.359295797394036,20
65.8,2.357463801558205,20
65.9,2.355637724784105,20
66.0,2.353817547042367,20
66.10000000000001,2.3520032483768967,20
66.2,2.3501948089045763,20
66.3,2.3483922088149676,20
66.4,2.346595428370016,20
66.5,2.3448044479037558,20
66.60000000000001,2.3430192478220144,20
66.7,2.3412398086021255,20
66.8,2.3394661107926322,20
66.9,2.3376981350130013,20
67.0,2.3359358619533372,20
67.10000000000001,2.334179272374087,20
67.2,2.3324283471057647,20
67.3,2.3306830670486605,20
67.4,2.3289434131725577,20
67.5,2.327209366516457,20
67.60000000000001,2.325480908188288,20
67.7,2.3237580193646363,20
67.8,2.322040681290461,20
67.9,2.3203288752788227,20
68.0,2.3186225827106024,20
68.10000000000001,2.3169217850342325,20
68.19999999999999,2.3152264637654216,20
68.3,2.3135366004868803,20
68.4,2.311852176848057,20
68.5,2.3101731745648606,20
68.60000000000001,2.3084995754194,20
68.7,2.3068313612597104,20
68.8,2.3051685139994937,20
68.9,2.303511015617851,20
69.0,2.3018588481590174,20
69.10000000000001,2.300211993732104,20
69.2,2.2985704345108346,20
69.3,2.2969341527332863,20
69.4,2.2953031307016305,20
69.5,2.2936773507818757,20
69.60000000000001,2.292056795403613,20
69.7,2.2904414470597594,20
